date,export,import,diff
2009-05-01,"₩27,823,839 ","₩23,407,033 ","₩4,416,806 "
2009-06-01,"₩32,210,048 ","₩25,689,293 ","₩6,520,755 "
2009-07-01,"₩31,908,462 ","₩27,679,764 ","₩4,228,698 "
2009-08-01,"₩28,949,627 ","₩27,408,191 ","₩1,541,436 "
2009-09-01,"₩33,922,429 ","₩29,757,140 ","₩4,165,289 "
2009-10-01,"₩33,970,032 ","₩30,396,532 ","₩3,573,500 "
2009-11-01,"₩33,991,607 ","₩29,534,690 ","₩4,456,917 "
2009-12-01,"₩36,009,623 ","₩32,920,497 ","₩3,089,126 "
2010-01-01,"₩30,735,415 ","₩31,535,995 ","(₩800,580)"
2010-02-01,"₩33,039,402 ","₩31,044,126 ","₩1,995,276 "
2010-03-01,"₩37,308,940 ","₩35,575,754 ","₩1,733,186 "
2010-04-01,"₩39,301,014 ","₩35,522,367 ","₩3,778,647 "
2010-05-01,"₩38,887,930 ","₩34,853,570 ","₩4,034,360 "
2010-06-01,"₩42,049,045 ","₩35,254,773 ","₩6,794,272 "
2010-07-01,"₩40,423,611 ","₩35,421,718 ","₩5,001,893 "
2010-08-01,"₩36,480,955 ","₩35,274,964 ","₩1,205,991 "
2010-09-01,"₩39,410,882 ","₩35,001,780 ","₩4,409,102 "
2010-10-01,"₩43,340,335 ","₩37,001,095 ","₩6,339,240 "
2010-11-01,"₩41,260,912 ","₩38,669,304 ","₩2,591,608 "
2010-12-01,"₩44,145,320 ","₩40,056,714 ","₩4,088,606 "
2011-01-01,"₩44,465,366 ","₩41,981,323 ","₩2,484,043 "
2011-02-01,"₩38,467,412 ","₩36,401,588 ","₩2,065,824 "
2011-03-01,"₩48,052,991 ","₩45,565,952 ","₩2,487,039 "
2011-04-01,"₩48,536,725 ","₩44,188,522 ","₩4,348,203 "
2011-05-01,"₩47,331,329 ","₩45,284,932 ","₩2,046,397 "
2011-06-01,"₩46,736,893 ","₩44,824,772 ","₩1,912,121 "
2011-07-01,"₩48,950,113 ","₩44,296,129 ","₩4,653,984 "
2011-08-01,"₩45,792,061 ","₩45,381,680 ","₩410,381 "
2011-09-01,"₩46,510,965 ","₩45,279,469 ","₩1,231,496 "
2011-10-01,"₩46,613,480 ","₩42,709,770 ","₩3,903,710 "
2011-11-01,"₩46,012,595 ","₩43,010,481 ","₩3,002,114 "
2011-12-01,"₩47,743,725 ","₩45,488,471 ","₩2,255,254 "
2012-01-01,"₩41,200,358 ","₩43,517,291 ","(₩2,316,933)"
2012-02-01,"₩46,316,184 ","₩45,099,984 ","₩1,216,200 "
2012-03-01,"₩47,329,817 ","₩45,053,406 ","₩2,276,411 "
2012-04-01,"₩46,094,754 ","₩43,957,176 ","₩2,137,578 "
2012-05-01,"₩46,872,357 ","₩44,480,339 ","₩2,392,018 "
2012-06-01,"₩47,162,605 ","₩41,993,629 ","₩5,168,976 "
2012-07-01,"₩44,667,681 ","₩41,976,900 ","₩2,690,781 "
2012-08-01,"₩43,045,181 ","₩41,115,675 ","₩1,929,506 "
2012-09-01,"₩45,412,538 ","₩42,559,535 ","₩2,853,003 "
2012-10-01,"₩47,087,760 ","₩43,379,893 ","₩3,707,867 "
2012-11-01,"₩47,805,246 ","₩43,381,537 ","₩4,423,709 "
2012-12-01,"₩44,875,311 ","₩43,069,109 ","₩1,806,202 "
2013-01-01,"₩45,673,109 ","₩45,296,942 ","₩376,167 "
2013-02-01,"₩42,331,837 ","₩40,458,472 ","₩1,873,365 "
2013-03-01,"₩47,312,704 ","₩43,976,739 ","₩3,335,965 "
2013-04-01,"₩46,157,925 ","₩43,648,241 ","₩2,509,684 "
2013-05-01,"₩48,307,560 ","₩42,389,874 ","₩5,917,686 "
2013-06-01,"₩46,690,983 ","₩40,719,394 ","₩5,971,589 "
2013-07-01,"₩45,829,521 ","₩43,384,403 ","₩2,445,118 "
2013-08-01,"₩46,311,341 ","₩41,593,821 ","₩4,717,520 "
