Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2009-03-27,1248.7,1256.7,1233.95,1237.51,702348126,-0.0051,2,-6.29,7025605483930,637876221480695
2009-03-30,1239.8,1244.78,1196.32,1197.46,527829644,-0.032400000000000005,2,-40.05,4901678651115,619273159430120
2009-03-31,1205.98,1228.21,1203.16,1206.26,503563491,0.0073,1,8.8,5211783606496,623523107746925
2009-04-01,1214.06,1238.04,1201.71,1233.36,586123772,0.0225,1,27.1,6460702298515,637377933577035
2009-04-02,1254.38,1278.56,1249.94,1276.97,732210776,0.0354,1,43.61,7980881253397,659821160890485
2009-04-03,1288.56,1292.6,1274.45,1283.75,618670739,0.0053,1,6.78,7761773076760,663177176517305
2009-04-06,1292.42,1315.3,1292.42,1297.85,726430805,0.011000000000000001,1,14.1,7850148840897,670385285379385
2009-04-07,1296.32,1304.28,1282.41,1300.1,686776114,0.0017000000000000001,1,2.25,6607436521465,671446590648075
2009-04-08,1284.98,1287.59,1260.73,1262.07,751439799,-0.029300000000000003,2,-38.03,6719458763190,651852846041730
2009-04-09,1274.03,1317.29,1272.02,1316.35,933678336,0.043,1,54.28,9150021986263,679860868897445
2009-04-10,1340.87,1355.69,1319.52,1336.04,920396539,0.015,1,19.69,9064786109765,690036978950915
2009-04-13,1341.74,1353.27,1328.99,1338.26,815421736,0.0017000000000000001,1,2.22,8236609137130,690984339303460
2009-04-14,1353.25,1356.31,1323.64,1342.63,933384214,0.0033,1,4.37,8325877453525,693265286034235
2009-04-15,1321.6,1341.32,1305.16,1333.09,815701843,-0.0070999999999999995,2,-9.54,8221371250399,688611544101535
2009-04-16,1356.88,1371.28,1334.65,1336.72,746708864,0.0027,1,3.63,8912085595576,690554426216265
2009-04-17,1354.93,1360.9,1316.11,1329.0,794015798,-0.0058,2,-7.72,8205060456134,686964028561785
2009-04-20,1331.76,1338.9,1311.73,1336.39,566858143,0.005600000000000001,1,7.39,5944083990770,693640412125185
2009-04-21,1307.95,1338.48,1303.22,1336.81,639590853,0.0003,1,0.42,6520602653698,693998572251025
2009-04-22,1347.79,1360.41,1336.41,1356.02,730162773,0.0144,1,19.21,8595045538250,704177932126210
2009-04-23,1367.3,1371.95,1353.16,1368.8,747016836,0.009399999999999999,1,12.78,8867659869491,710880981698295
2009-04-24,1371.81,1375.8,1343.55,1354.1,683433498,-0.010700000000000001,2,-14.7,8143319668930,702971681535885
2009-04-27,1358.2,1366.66,1334.02,1339.83,547298266,-0.0105,2,-14.27,6993373248160,695410916736925
2009-04-28,1344.77,1353.8,1298.86,1300.24,759036321,-0.029500000000000002,2,-39.59,7666212101068,675156998672605
2009-04-29,1310.62,1338.43,1299.98,1338.42,599342809,0.0294,1,38.18,5664584924611,694655751983280
2009-04-30,1353.67,1377.82,1350.46,1369.36,811763972,0.0231,1,30.94,8582747114135,710678763724090
2009-05-04,1386.02,1397.92,1381.12,1397.92,749111171,0.0209,1,28.56,9028020189660,725516599908275
2009-05-06,1399.82,1408.57,1385.35,1393.45,738945886,-0.0032,2,-4.47,9876754973992,722530391979725
2009-05-07,1414.55,1415.48,1389.82,1401.08,770554067,0.0055000000000000005,1,7.63,9553835023025,726494462157445
2009-05-08,1400.47,1412.14,1390.83,1412.13,732205812,0.0079,1,11.05,8199849712340,732299464731255
2009-05-11,1416.42,1420.31,1405.42,1415.16,681599352,0.0021,1,3.03,7002840385894,733724151535845
2009-05-12,1406.44,1411.21,1395.91,1403.51,770682193,-0.008199999999999999,2,-11.65,6639587360274,727844413997435
2009-05-13,1409.59,1414.63,1400.35,1414.52,713985209,0.0078000000000000005,1,11.01,7052485159710,733586686622690
2009-05-14,1395.6,1400.38,1380.91,1380.95,700942423,-0.023700000000000002,2,-33.57,7580623528900,716485052387070
2009-05-15,1395.15,1399.84,1385.83,1391.73,702846864,0.0078000000000000005,1,10.78,6841540427303,720879443164660
2009-05-18,1385.71,1387.2,1366.58,1386.68,552497159,-0.0036,2,-5.05,6063755681109,718538116177170
2009-05-19,1416.95,1428.21,1411.89,1428.21,767835352,0.029900000000000003,1,41.53,7668651660012,739991676990915
2009-05-20,1427.98,1436.92,1424.6,1435.7,698912066,0.0052,1,7.49,6738849546625,744210003520985
2009-05-21,1431.03,1433.07,1412.73,1421.65,867643972,-0.0098,2,-14.05,7893553788670,737226097014955
2009-05-22,1406.27,1431.32,1402.8,1403.75,676836678,-0.0126,2,-17.9,7863532581250,728868124381125
2009-05-25,1393.99,1414.14,1315.21,1400.9,825371056,-0.002,2,-2.85,8630338810840,727369068667060
2009-05-26,1407.58,1409.29,1361.58,1372.04,684648840,-0.0206,2,-28.86,8215082164031,712335498455040
2009-05-27,1394.74,1396.77,1360.3,1362.02,786694172,-0.0073,2,-10.02,8209177781381,707443343110660
2009-05-28,1355.89,1392.17,1345.1,1392.17,657878169,0.022099999999999998,1,30.15,7347898916663,723169710537625
2009-05-29,1393.25,1398.44,1380.68,1395.89,549745849,0.0027,1,3.72,7057542258563,725874519843190
2009-06-01,1394.92,1415.1,1384.45,1415.1,558960157,0.0138,1,19.21,6350364436605,735825826787235
2009-06-02,1437.15,1437.76,1411.62,1412.85,705294452,-0.0016,2,-2.25,8291984476925,734560796561615
2009-06-03,1423.8,1427.05,1402.76,1414.89,731509170,0.0014000000000000002,1,2.04,7355228907937,735515316153930
2009-06-04,1410.24,1411.11,1375.94,1378.14,583311054,-0.026000000000000002,2,-36.75,6956173012930,716470836179420
2009-06-05,1392.63,1394.71,1373.24,1394.71,511501264,0.012,1,16.57,5974011683802,724919032900310
